time,Perdue,Ossoff
2020-11-06 21:38:17.866935,2450008,2352005
2020-11-06 23:25:17.089816,2452576,2356936
2020-11-06 23:30:02.835821,2452576,2356936
2020-11-06 23:35:02.005399,2452576,2356936
2020-11-06 23:40:02.332825,2452579,2356937
2020-11-06 23:45:02.915015,2452585,2356938
2020-11-06 23:50:02.114107,2452632,2357098
2020-11-07 00:00:02.593320,2452655,2357119
2020-11-07 00:20:03.023626,2453366,2357524
2020-11-07 00:40:02.377844,2453432,2357633
2020-11-07 01:00:02.129295,2453432,2357633
2020-11-07 01:20:02.587363,2453521,2357761
2020-11-07 01:40:02.289768,2453610,2357861
2020-11-07 02:00:03.847963,2453610,2357861
2020-11-07 02:20:02.686373,2453776,2358109
2020-11-07 02:40:03.059766,2453846,2358314
2020-11-07 03:00:03.127680,2453876,2358432
2020-11-07 03:20:02.553913,2453876,2358432
2020-11-07 03:40:03.110012,2453876,2358432
2020-11-07 04:00:03.080352,2453876,2358432
2020-11-07 04:20:02.521549,2453876,2358432
2020-11-07 04:40:02.812981,2453876,2358432
2020-11-07 05:00:02.654310,2453876,2358432
2020-11-07 05:20:02.924072,2453876,2358432
2020-11-07 05:40:02.412800,2453897,2358478
2020-11-07 06:00:02.157026,2453897,2358478
2020-11-07 06:20:02.446686,2453897,2358478
2020-11-07 06:40:04.523483,2453897,2358478
2020-11-07 07:00:02.779386,2453897,2358478
2020-11-07 07:20:03.124537,2453897,2358478
2020-11-07 07:40:02.896579,2453897,2358478
2020-11-07 08:00:02.974286,2455077,2362076
2020-11-07 08:20:02.367450,2455077,2362076
2020-11-07 08:40:02.700444,2455077,2362076
2020-11-07 09:00:02.664525,2455077,2362076
2020-11-07 09:20:03.207923,2455077,2362076
2020-11-07 09:40:02.685079,2455077,2362076
2020-11-07 10:00:02.521501,2455077,2362076
2020-11-07 10:20:04.495618,2455077,2362076
2020-11-07 10:40:03.626623,2455077,2362076
2020-11-07 11:00:03.595398,2455077,2362076
2020-11-07 11:20:02.579202,2455077,2362076
2020-11-07 11:40:03.077132,2455077,2362076
2020-11-07 12:00:03.443522,2455077,2362076
2020-11-07 12:20:04.453094,2455077,2362076
2020-11-07 12:40:04.041888,2455077,2362076
2020-11-07 13:00:03.195157,2455077,2362076
2020-11-07 13:20:03.686159,2455077,2362076
2020-11-07 13:40:03.558181,2455077,2362076
2020-11-07 14:00:03.401791,2455077,2362076
2020-11-07 14:40:03.706253,2455077,2362076
2020-11-07 15:00:03.243601,2455077,2362076
2020-11-07 15:40:03.010689,2455077,2362076
2020-11-07 16:00:03.167480,2455077,2362076
2020-11-07 16:40:03.643367,2455077,2362076
2020-11-07 17:00:03.150492,2455077,2362076
2020-11-07 17:40:03.463894,2455077,2362076
2020-11-07 18:00:03.655524,2455077,2362076
2020-11-07 18:40:03.043061,2455147,2362145
2020-11-07 19:00:03.523571,2455147,2362145
2020-11-07 19:40:02.656928,2455346,2362606
2020-11-07 20:00:03.089328,2455408,2362656
2020-11-07 20:40:03.438406,2455408,2362656
2020-11-07 21:00:03.322461,2455408,2362656
